_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=1 Win=1452 Len=0 TSval=2676420547 TSecr=1089085460"
"0.132711","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.196096","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2676420596 TSecr=1089085656"
"0.693972","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.695114","172.18.0.2","54.38.73.16","TLSv1.2","2153","Application Data"
"0.720092","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2676420726 TSecr=1089086218"
"1.103386","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.143755","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=1087 Win=5612 Len=0 TSval=1089086667 TSecr=2676420805"
"1.170396","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"1.170469","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2144 Win=5604 Len=0 TSval=1089086693 TSecr=2676420839"
"1.177982","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.202422","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2144 Ack=3172 Win=1452 Len=0 TSval=2676420847 TSecr=1089086701"
"1.615066","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.615117","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2687 Win=5608 Len=0 TSval=1089087138 TSecr=2676420931"
"1.616082","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.640867","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2687 Ack=3715 Win=1452 Len=0 TSval=2676420957 TSecr=1089087139"
"1.877573","54.38.73.16","172.18.0.2","TLSv1.2","3695","Application Data"
"1.877607","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=6314 Win=5584 Len=0 TSval=1089087401 TSecr=2676421016"
"1.886696","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"1.886716","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=9210 Win=5596 Len=0 TSval=1089087410 TSecr=2676421018"
"1.886908","54.38.73.16","172.18.0.2","TLSv1.2","4412","Application Data [TCP segment of a reassembled PDU]"
"1.886918","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=13554 Win=5580 Len=0 TSval=1089087410 TSecr=2676421018"
"1.902100","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.902114","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=16450 Win=5596 Len=0 TSval=1089087425 TSecr=2676421022"
"1.909366","54.38.73.16","172.18.0.2","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.909378","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=17898 Win=5593 Len=0 TSval=1089087432 TSecr=2676421024"
"1.911188","54.38.73.16","172.18.0.2","TLSv1.2","4563","Application Data, Application Data"
"1.911199","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=22393 Win=5586 Len=0 TSval=1089087434 TSecr=2676421024"
"1.920359","54.38.73.16","172.18.0.2","TCP","1516","[TCP segment of a reassembled PDU]"
"1.920371","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=23841 Win=5593 Len=0 TSval=1089087443 TSecr=2676421026"
