_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.063138","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2673074234 TSecr=1075700306"
"0.222619","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.223897","172.18.0.2","54.38.73.16","TCP","1516","[TCP segment of a reassembled PDU]"
"0.223986","172.18.0.2","54.38.73.16","TLSv1.2","705","Application Data"
"0.248093","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2673074280 TSecr=1075700530"
"0.562781","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.604405","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=1087 Win=5612 Len=0 TSval=1075700911 TSecr=2673074358"
"0.629911","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"0.629974","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2144 Win=5604 Len=0 TSval=1075700936 TSecr=2673074375"
"0.637397","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.669839","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2144 Ack=3172 Win=1452 Len=0 TSval=2673074385 TSecr=1075700944"
"0.958069","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.958137","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2687 Win=5608 Len=0 TSval=1075701264 TSecr=2673074451"
"0.959100","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.983107","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2687 Ack=3715 Win=1452 Len=0 TSval=2673074464 TSecr=1075701265"
"1.265848","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.265910","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=3230 Win=5608 Len=0 TSval=1075701572 TSecr=2673074534"
"1.311889","54.38.73.16","172.18.0.2","TLSv1.2","3695","Application Data"
"1.311951","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=6857 Win=5580 Len=0 TSval=1075701618 TSecr=2673074546"
"1.321923","54.38.73.16","172.18.0.2","TLSv1.2","10204","Application Data, Application Data"
"1.321966","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=16993 Win=5549 Len=0 TSval=1075701628 TSecr=2673074548"
"1.322456","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.336123","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.336159","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=19889 Win=5595 Len=0 TSval=1075701642 TSecr=2673074552"
"1.346726","54.38.73.16","172.18.0.2","TCP","68","[TCP Previous segment not captured] 21002 → 36876 [ACK] Seq=27620 Ack=4258 Win=1452 Len=0 TSval=2673074554 TSecr=1075701629"
"1.346747","54.38.73.16","172.18.0.2","TCP","7799","[TCP Retransmission] 21002 → 36876 [PSH, ACK] Seq=19889 Ack=3715 Win=1452 Len=7731 TSval=2673074554 TSecr=1075701628"
"1.346906","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=27620 Win=5569 Len=0 TSval=1075701653 TSecr=2673074554"
