_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.000022","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=1 Ack=544 Win=11911 Len=0"
"0.099983","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.100298","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=544 Win=65535 Len=0"
"0.418751","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.418837","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=1087 Win=11911 Len=0"
"0.420118","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.420431","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1087 Ack=2004 Win=65535 Len=0"
"0.420510","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1087 Ack=2629 Win=65535 Len=0"
"0.903043","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.940199","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"0.940225","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2687 Win=11909 Len=0"
"0.944780","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.945190","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2687 Ack=3172 Win=65535 Len=0"
"1.216525","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.217526","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.217909","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3230 Ack=3715 Win=65535 Len=0"
"1.457783","02:42:7b:11:31:3d","","ARP","44","Who has 172.19.0.3? Tell 172.19.0.1"
"1.457798","02:42:ac:13:00:03","","ARP","44","172.19.0.3 is at 02:42:ac:13:00:03"
"1.536035","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.536101","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=4690 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.536110","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"1.536218","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6857 Win=11895 Len=0"
"1.548748","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.548804","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=8317 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.548818","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=9777 Win=11903 Len=0"
"1.548820","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.548876","5.9.29.183","172.19.0.3","TCP","1468","9002 → 43520 [PSH, ACK] Seq=11237 Ack=3715 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"1.548929","5.9.29.183","172.19.0.3","TCP","1123","9002 → 43520 [PSH, ACK] Seq=12649 Ack=3715 Win=65535 Len=1067 [TCP segment of a reassembled PDU]"
